CLADATA,NOMBRE,DESCRIPCIO,FISNAME
203,TABLA TIKETSNULL,,TIKETSNULL.DBF
203,TABLA ANULATKT,,ANULATKT.DBF
203,TABLA CITARIO,,CITARIO.DBF
203,TABLA CITARIOCFG,,CITARIOCFG.DBF
203,TABLA CITARIOL,,CITARIOL.DBF
203,TABLA EQUIVALENCIAS,,EQUIVALENCIAS.DBF
203,TABLA RECURSOSL,,RECURSOSL.DBF
203,TABLA SAVETIKETS,,SAVETIKETS.DBF
203,TABLA SERVICIOS,,SERVICIOS.DBF
203,TABLA SERVICIOSL,,SERVICIOSL.DBF
